wav-03|and so what that would be able to do is actually the steam engines|and so what that would be able to do is actually the steam engines
wav-821|in africa or rimer what they say europe middle east and africa|in africa or rimer what they say europe middle east and africa
wav-825|but i do look forward to a day where in these big tech companies you will have a ceo|but i do look forward to a day where in these big tech companies you will have a ceo
wav-830|who is actually from kenya absolutely and you know one of the positive things that we had and even last week when we had the launch we had the minister of labor|who is actually from kenya absolutely and you know one of the positive things that we had and even last week when we had the launch we had the minister of labor
wav-833|you know one of the positive things that we had and even last week when we had the launch we had the minister of labor|you know one of the positive things that we had and even last week when we had the launch we had the minister of labor
wav-834|so so government is there look at the ministry of ict we had ps jerome ching representing cs there they are very|so so government is there look at the ministry of ict we had ps jerome ching representing cs there they are very
wav-838|so the people at the table we have government we have industry we talked about the training institution|so the people at the table we have government we have industry we talked about the training institution
wav-843|uh we also talked about uh we even had uh people from manufacturing and employers of kenya|uh we also talked about uh we even had uh people from manufacturing and employers of kenya
wav-846|so we're saying financial services we're saying all of us need to come together to solve it|so we're saying financial services we're saying all of us need to come together to solve it
wav-850|but i believe government is seeing the opportunity i believe the work that's happening at kansa|but i believe government is seeing the opportunity i believe the work that's happening at kansa
wav-855|and attracting investors i think it's a south korean university that's looking to open and launch there we are partners in it|and attracting investors i think it's a south korean university that's looking to open and launch there we are partners in it
wav-858|that we can't ignore uh the aspiration to be the silicon savannah safaricom is the big tech|that we can't ignore uh the aspiration to be the silicon savannah safaricom is the big tech
wav-862|of the region we have to play a role uh by giving some form of direction but we can't do it without government|of the region we have to play a role uh by giving some form of direction but we can't do it without government
wav-867|government uh equally is looking to reduce unemployment inequality|government uh equally is looking to reduce unemployment inequality
wav-871|create opportunities and solve some of the perennial problems we have for some of us we are saying|create opportunities and solve some of the perennial problems we have for some of us we are saying
wav-875|software engineering needs to have a lead role uh in doing it and i believe|software engineering needs to have a lead role uh in doing it and i believe
wav-881|as this program unfolds in other programs that are there you will see a lot of this partnership coming|as this program unfolds in other programs that are there you will see a lot of this partnership coming
wav-888|so we do in so one of the things we do need to have succession planning and other things that this|so we do in so one of the things we do need to have succession planning and other things that this
wav-891|whole uh where i found myself about 18 to 24 months ago in terms of|whole uh where i found myself about 18 to 24 months ago in terms of
wav-894|talent they said hey i need to be a lot better prepared for it so broadening the entire pool is important|talent they said hey i need to be a lot better prepared for it so broadening the entire pool is important
wav-899|we did a skills audit and identified of the x hundred people we had in IT|we did a skills audit and identified of the x hundred people we had in IT
wav-902|which are the areas we are green which we mean we have an abundance of talent and where are we red|which are the areas we are green which we mean we have an abundance of talent and where are we red
wav-908|and we talk about even across the whole organization a free training program we offer called one more skill where people have access to a lot of materials|and we talk about even across the whole organization a free training program we offer called one more skill where people have access to a lot of materials
wav-913|and then one of the other things as part of this contribution model the skills that you've|and then one of the other things as part of this contribution model the skills that you've
wav-917|picked and you're able to apply uh you talk about sometimes people having a|picked and you're able to apply uh you talk about sometimes people having a
wav-922|t-shaped skill so you're actually cross-functional you can do a job that potentially|t-shaped skill so you're actually cross-functional you can do a job that potentially
wav-925|three different people can do so such a person becomes a very valuable asset but also we need to ring fence|three different people can do so such a person becomes a very valuable asset but also we need to ring fence
wav-933|not feeling that they want to get wings quickly so a chapter is a|not feeling that they want to get wings quickly so a chapter is a
wav-940|are you equipping your successor right and how can this rotate that the people within your space|are you equipping your successor right and how can this rotate that the people within your space
wav-944|you are kind of a senior coach mentor to them to them and so you're constantly|you are kind of a senior coach mentor to them to them and so you're constantly
wav-947|replenishing your talent goal and so if people do leave it doesn't uh catch you with a lot of surprising as you said uh|replenishing your talent goal and so if people do leave it doesn't uh catch you with a lot of surprising as you said uh
